year,municipio,income,cpi,real_income
2021,Culebra Municipio,25104.0,270.96791666666667,28229.5169631091
2022,Culebra Municipio,25483.0,292.6254166666667,26534.866204091973
2023,Culebra Municipio,27614.0,304.70416666666665,27614.0
2010,Dorado Municipio,25473.0,218.0761666666667,35591.82718652581
2011,Dorado Municipio,27701.0,224.923,37526.66521802276
2012,Dorado Municipio,28530.0,229.58608333333333,37864.70742818688
2013,Dorado Municipio,28306.0,232.95174999999998,37024.64626973898
2014,Dorado Municipio,27924.0,236.715,35944.31763935534
2015,Dorado Municipio,26947.0,237.00175000000002,34644.73650159404
2016,Dorado Municipio,28133.0,240.00541666666666,35716.870226887244
2017,Dorado Municipio,29354.0,245.121,36489.2690072794
2018,Dorado Municipio,29667.0,251.0995,36000.30470988592
2019,Dorado Municipio,30732.0,255.65258333333335,36628.49139994999
2020,Dorado Municipio,29852.0,258.85575,35139.3731193274
2021,Dorado Municipio,29744.0,270.96791666666667,33447.2097096366
2022,Dorado Municipio,31485.0,292.6254166666667,32784.611797505626
2023,Dorado Municipio,33388.0,304.70416666666665,33388.0
2010,Fajardo Municipio,19803.0,218.0761666666667,27669.491374191126
2011,Fajardo Municipio,20176.0,224.923,27332.51497920029
2012,Fajardo Municipio,21194.0,229.58608333333333,28128.44757213434
2013,Fajardo Municipio,21544.0,232.95174999999998,28179.85512736722
2014,Fajardo Municipio,20531.0,236.715,26427.903790775123
2015,Fajardo Municipio,19320.0,237.00175000000002,24838.991695209
2016,Fajardo Municipio,19482.0,240.00541666666666,24733.80250098522
2017,Fajardo Municipio,18941.0,245.121,23545.112906822887
2018,Fajardo Municipio,19068.0,251.0995,23138.632494290112
2019,Fajardo Municipio,19430.0,255.65258333333335,23157.997784102183
2020,Fajardo Municipio,19957.0,258.85575,23491.775068418094
2021,Fajardo Municipio,21701.0,270.96791666666667,24402.834114739904
2022,Fajardo Municipio,24309.0,292.6254166666667,25312.40680278114
2023,Fajardo Municipio,25170.0,304.70416666666665,25170.0
2010,Florida Municipio,16246.0,218.0761666666667,22699.518096506035
2011,Florida Municipio,15693.0,224.923,21259.375375128377
2012,Florida Municipio,16150.0,229.58608333333333,21434.10532650607
2013,Florida Municipio,16750.0,232.95174999999998,21909.235675055745
2014,Florida Municipio,15992.0,236.715,20585.214428039344
2015,Florida Municipio,14994.0,237.00175000000002,19277.217467803504
2016,Florida Municipio,16793.0,240.00541666666666,21319.92328298146
2017,Florida Municipio,16919.0,245.121,21031.612125576074
2018,Florida Municipio,20315.0,251.0995,24651.841783170945
2019,Florida Municipio,20442.0,255.65258333333335,24364.168332610232
2020,Florida Municipio,20221.0,258.85575,23802.534632383737
2021,Florida Municipio,21487.0,270.96791666666667,24162.190526861268
2022,Florida Municipio,21560.0,292.6254166666667,22449.935853715142
2023,Florida Municipio,21213.0,304.70416666666665,21213.0
2010,Guayama Municipio,17214.0,218.0761666666667,24052.04385776529
2011,Guayama Municipio,18593.0,224.923,25188.017992083216
2012,Guayama Municipio,17496.0,229.58608333333333,23220.50196857896
2013,Guayama Municipio,17260.0,232.95174999999998,22576.32285083356
2014,Guayama Municipio,16765.0,236.715,21580.23511043519
2015,Guayama Municipio,15860.0,237.00175000000002,20390.600842961423
2016,Guayama Municipio,15078.0,240.00541666666666,19142.60723282287
2017,Guayama Municipio,15296.0,245.121,19014.098887216245
2018,Guayama Municipio,16374.0,251.0995,19869.517960011868
2019,Guayama Municipio,17261.0,255.65258333333335,20572.835808100248
2020,Guayama Municipio,17319.0,258.85575,20386.533667882595
2021,Guayama Municipio,17815.0,270.96791666666667,20033.01643952313
2022,Guayama Municipio,19165.0,292.6254166666667,19956.077023954113
2023,Guayama Municipio,20273.0,304.70416666666665,20273.0
2010,Guayanilla Municipio,14243.0,218.0761666666667,19900.85167109045
2011,Guayanilla Municipio,15049.0,224.923,20386.94577329427
2012,Guayanilla Municipio,14679.0,229.58608333333333,19481.810036395207
2013,Guayanilla Municipio,15063.0,232.95174999999998,19702.61593870834
2014,Guayanilla Municipio,15483.0,236.715,19930.019696681662
2015,Guayanilla Municipio,15067.0,237.00175000000002,19371.07080081335
2016,Guayanilla Municipio,14848.0,240.00541666666666,18850.605663413848
2017,Guayanilla Municipio,14988.0,245.121,18631.231310250856
2018,Guayanilla Municipio,16922.0,251.0995,20534.504880867276
2019,Guayanilla Municipio,17379.0,255.65258333333335,20713.47624755079
2020,Guayanilla Municipio,17796.0,258.85575,20948.019698229615
2021,Guayanilla Municipio,19023.0,270.96791666666667,21391.41575801563
2022,Guayanilla Municipio,21312.0,292.6254166666667,22191.699114767027
2023,Guayanilla Municipio,21400.0,304.70416666666665,21400.0
2010,Guaynabo Municipio,33279.0,218.0761666666667,46498.66199271355
2011,Guaynabo Municipio,34661.0,224.923,46955.407498714376
2012,Guaynabo Municipio,34638.0,229.58608333333333,45971.178965914376
2013,Guaynabo Municipio,35074.0,232.95174999999998,45877.28549653165
2014,Guaynabo Municipio,34450.0,236.715,44344.71217145794
2015,Guaynabo Municipio,34719.0,237.00175000000002,44636.902311902755
2016,Guaynabo Municipio,33979.0,240.00541666666666,43138.78837804008
2017,Guaynabo Municipio,34060.0,245.121,42339.18724493889
2018,Guaynabo Municipio,33937.0,251.0995,41181.86338151476
2019,Guaynabo Municipio,35928.0,255.65258333333335,42821.438208297644
